T3	U4
0.0	1.0855675688491662
0.00905653252834922	1.0239209727618923
0.01811306505669844	1.1384929818438263
0.02716959758504766	1.0731900728736
0.03622613011339688	1.0227699196103006
0.08150879275514297	1.3042450417702258
0.12679145539688907	1.3077512729469092
0.17207411803863515	1.4871418321541139
0.21735678068038125	1.6311280559211125
0.2983961969248693	1.7615793241059363
0.37943561316935737	1.9738417951931906
0.46047502941384544	2.147791338011248
0.5415144456583335	2.232003758542137
0.6314665842605912	2.4230000207581144
0.7214187228628488	2.4917792216279477
0.8113708614651065	2.707474338506313
0.9013230000673642	2.7904315583488115
1.0035286998668886	2.7631240077608377
1.105734399666413	2.8952858193266335
1.2079400994659375	2.8968813385903367
1.310145799265462	3.0309009309190453
1.425592174413839	2.974296385615024
1.5410385495622159	3.093538754132816
1.6564849247105928	3.1750113283040533
1.7719312998589698	3.1308901352570886
1.903065909205048	3.194335260694036
2.0342005185511263	3.2313842364076955
2.165335127897204	3.2107807431623763
2.2964697372432825	3.2536375003615094
2.4468989616616916	3.305515305413912
2.5973281860801007	3.20155505560738
2.7477574104985103	3.2695979339868804
2.8981866349169194	3.307432561434306
3.0732732034597934	3.4201144085492845
3.248359772002667	3.353545343166739
3.423446340545541	3.2467738688223613
3.598532909088415	3.233997826126115
3.8063267740304294	3.3403972998123117
4.014120638972444	3.3786318327216183
4.2219145039144585	3.2969840357867106
4.429708368856473	3.274689994191032
4.679708368856473	3.4041756777507626
4.929708368856473	3.337077330005731
5.179708368856473	3.3004223950421765
5.429708368856473	3.331362466119527
5.679708368856473	3.2677916374790446
5.929708368856473	3.350243694028316
6.179708368856473	3.265079320006138
6.429708368856473	3.344961085039168
6.679708368856473	3.454851491574933
6.929708368856473	3.315614928704462
7.179708368856473	3.320610982735765
7.429708368856473	3.3293625058713037
7.679708368856473	3.2731139585482527
7.929708368856474	3.3560265783620293
8.179708368856474	3.3668044921280202
8.429708368856474	3.3132012698733546
8.679708368856474	3.3712788988330393
8.929708368856474	3.397421458792526
9.179708368856474	3.373510491369262
9.429708368856474	3.2731272669098233
9.572281276642356	3.292022606617046
9.714854184428237	3.2977802862903762
9.857427092214119	3.355147475147445
10.0	3.3844288142960184
